Results ID: 3
Created On: 2019-08-16 22:52:11.341000
For Project: Sepsis + EC BAD Treatment Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
        21 |       25 |       308 |         63 | 65.84463 |  0.39683 |  5.84717 |     134 |             30 |     174 |           32 |       48 |     179 |               48 |           69 |                   16 |           8 |                   6 |             4 | 
        26 |       30 |       288 |         59 | 66.80356 |  0.37288 |  6.06378 |     109 |             24 |     179 |           27 |       38 |     185 |               38 |           53 |                   13 |           8 |                   5 |             4 | 
        31 |       35 |       266 |         55 | 66.68691 |  0.36364 |  6.28694 |     103 |             28 |     163 |           26 |       37 |     160 |               37 |           59 |                   14 |           6 |                   5 |             4 | 
        36 |       40 |       252 |         51 | 67.20883 |  0.37255 |  6.31297 |     114 |             28 |     138 |           22 |       32 |     149 |               32 |           59 |                   10 |           9 |                   4 |             3 | 
        41 |       45 |       234 |         48 | 67.20803 |  0.37500 |  6.66013 |      91 |             15 |     143 |           26 |       30 |     129 |               30 |           59 |                   15 |          12 |                   6 |             4 | 
        46 |       50 |       214 |         44 | 68.21031 |  0.36364 |  6.75200 |      85 |             20 |     129 |           14 |       24 |     123 |               24 |           53 |                   13 |          11 |                   7 |             3 | 
        51 |       55 |       195 |         41 | 67.95471 |  0.36585 |  6.49615 |      92 |             20 |     103 |           15 |       18 |     101 |               18 |           51 |                   11 |          19 |                   9 |             6 | 
        56 |       60 |       165 |         35 | 69.75358 |  0.40000 |  6.49568 |      71 |             16 |      94 |           16 |       12 |     112 |               12 |           26 |                    9 |          10 |                   5 |             5 | 
         1 |       10 |       812 |        100 | 66.78275 |  0.45000 |  4.85027 |     294 |             85 |     518 |           69 |      105 |     516 |              105 |          112 |                   42 |          53 |                  14 |            26 | 
        11 |       20 |       680 |         74 | 66.74233 |  0.43243 |  5.55891 |     315 |             75 |     365 |           68 |      102 |     440 |              102 |          107 |                   33 |          20 |                  12 |            11 | 
        21 |       30 |       596 |         63 | 65.84463 |  0.39683 |  5.95184 |     243 |             54 |     353 |           59 |       86 |     364 |               86 |          122 |                   29 |          16 |                  11 |             8 | 
        31 |       40 |       518 |         55 | 66.68691 |  0.36364 |  6.29960 |     217 |             56 |     301 |           48 |       69 |     309 |               69 |          118 |                   24 |          15 |                   9 |             7 | 
        41 |       50 |       448 |         48 | 67.20803 |  0.37500 |  6.70401 |     176 |             35 |     272 |           40 |       54 |     252 |               54 |          112 |                   28 |          23 |                  13 |             7 | 
        51 |       60 |       360 |         41 | 67.95471 |  0.36585 |  6.49593 |     163 |             36 |     197 |           31 |       30 |     213 |               30 |           77 |                   20 |          29 |                  14 |            11 | 
         1 |       20 |      1492 |        100 | 66.78275 |  0.45000 |  5.17324 |     609 |            160 |     883 |          137 |      207 |     956 |              207 |          219 |                   75 |          73 |                  26 |            37 | 
        21 |       40 |      1114 |         63 | 65.84463 |  0.39683 |  6.11355 |     460 |            110 |     654 |          107 |      155 |     673 |              155 |          240 |                   53 |          31 |                  20 |            15 | 
        41 |       60 |       808 |         48 | 67.20803 |  0.37500 |  6.61130 |     339 |             71 |     469 |           71 |       84 |     465 |               84 |          189 |                   48 |          52 |                  27 |            18 | 
         1 |       60 |      3414 |        100 | 66.78275 |  0.45000 |  5.82042 |    1408 |            341 |    2006 |          315 |      446 |    2094 |              446 |          648 |                  176 |         156 |                  73 |            70 | 
Report Column Filter was:[('<Header>', 'Auto Detect', ''), ('Age', 'Auto Detect', ''), ('Male', 'Auto Detect', ''), ('Lactate', 'Auto Detect', ''), ('NoSIRS', 'Auto Detect', ''), ('NoSIRS_Entered', 'Auto Detect', ''), ('SIRS', 'Auto Detect', ''), ('SIRS_Entered', 'Auto Detect', ''), ('NoSpesis', 'Auto Detect', ''), ('Sepsis', 'Auto Detect', ''), ('NoSpesis_Entered', 'Auto Detect', ''), ('SevereSepsis', 'Auto Detect', ''), ('SevereSepsis_Entered', 'Auto Detect', ''), ('SepticShock', 'Auto Detect', ''), ('SepticShock_Entered', 'Auto Detect', ''), ('Death_Entered', 'Auto Detect', '')]
______________________________________________________________________
