Results ID: 1
Created On: 2019-08-16 22:43:56.794000
For Project: Sepsis Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
        46 |       50 |       353 |         71 | 66.39863 |  0.46479 |  0.78828 |     231 |             55 |     122 |           60 |      107 |     208 |              107 |           33 |                   22 |           4 |                   4 |             1 | 
        51 |       55 |       348 |         70 | 66.28833 |  0.47143 |  0.67117 |     233 |             59 |     115 |           54 |      121 |     196 |              121 |           25 |                   16 |           5 |                   5 |             1 | 
        56 |       60 |       345 |         69 | 66.20423 |  0.47826 |  0.60213 |     239 |             50 |     106 |           50 |      100 |     203 |              100 |           38 |                   21 |           4 |                   3 |             0 | 
         1 |       10 |       824 |        100 | 66.24510 |  0.44000 |  2.57712 |     431 |            137 |     393 |           88 |      188 |     490 |              188 |           98 |                   39 |          26 |                   7 |            22 | 
        11 |       20 |       770 |         78 | 66.40297 |  0.47436 |  0.94378 |     494 |            122 |     276 |          117 |      233 |     463 |              233 |           66 |                   31 |           5 |                   5 |             3 | 
        21 |       30 |       745 |         75 | 66.46455 |  0.46667 |  0.79963 |     513 |            116 |     232 |          114 |      226 |     462 |              226 |           45 |                   31 |          10 |                   7 |             2 | 
        31 |       40 |       719 |         73 | 66.52163 |  0.46575 |  0.86406 |     497 |             96 |     222 |           95 |      205 |     449 |              205 |           58 |                   39 |           5 |                   5 |             2 | 
        41 |       50 |       708 |         71 | 66.39863 |  0.46479 |  0.76420 |     477 |            107 |     231 |          113 |      215 |     430 |              215 |           57 |                   33 |           5 |                   5 |             1 | 
        51 |       60 |       693 |         70 | 66.28833 |  0.47143 |  0.63680 |     472 |            109 |     221 |          104 |      221 |     399 |              221 |           63 |                   37 |           9 |                   8 |             1 | 
         1 |       20 |      1594 |        100 | 66.24510 |  0.44000 |  1.78812 |     925 |            259 |     669 |          205 |      421 |     953 |              421 |          164 |                   70 |          31 |                  12 |            25 | 
        21 |       40 |      1464 |         75 | 66.46455 |  0.46667 |  0.83127 |    1010 |            212 |     454 |          209 |      431 |     911 |              431 |          103 |                   70 |          15 |                  12 |             4 | 
        41 |       60 |      1401 |         71 | 66.39863 |  0.46479 |  0.70118 |     949 |            216 |     452 |          217 |      436 |     829 |              436 |          120 |                   70 |          14 |                  13 |             2 | 
         1 |       60 |      4459 |        100 | 66.24510 |  0.44000 |  1.13245 |    2884 |            687 |    1575 |          631 |     1288 |    2693 |             1288 |          387 |                  210 |          60 |                  37 |            31 | 
Report Column Filter was:[('<Header>', 'Auto Detect', ''), ('Age', 'Auto Detect', ''), ('Male', 'Auto Detect', ''), ('Lactate', 'Auto Detect', ''), ('NoSIRS', 'Auto Detect', ''), ('NoSIRS_Entered', 'Auto Detect', ''), ('SIRS', 'Auto Detect', ''), ('SIRS_Entered', 'Auto Detect', ''), ('NoSpesis', 'Auto Detect', ''), ('Sepsis', 'Auto Detect', ''), ('NoSpesis_Entered', 'Auto Detect', ''), ('SevereSepsis', 'Auto Detect', ''), ('SevereSepsis_Entered', 'Auto Detect', ''), ('SepticShock', 'Auto Detect', ''), ('SepticShock_Entered', 'Auto Detect', ''), ('Death_Entered', 'Auto Detect', '')]
______________________________________________________________________
